wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-admin/themes.php HTTP/1.1" "http://wordpress/wp-admin/plugin-install.php?s=elementor&tab=search&type=term" 200 14220 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 84214 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,utils&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 109108 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=7.0.0 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 96536 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,thickbox,underscore,backbone,wp-util,wp-backbone,wp-a11y,customize-base,theme,updates,svg-painter&ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 156478 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-includes/js/dist/hooks.min.js?ver=2.2.0 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 5246 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-includes/js/heartbeat.min.js?ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 6358 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-includes/js/wp-auth-check.min.js?ver=5.2.2 HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 2123 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-content/themes/twentynineteen/screenshot.png HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 175866 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-content/themes/twentyseventeen/screenshot.png HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 364164 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:45:50 +0500] "GET /wp-content/themes/twentysixteen/screenshot.png HTTP/1.1" "http://wordpress/wp-admin/themes.php" 200 463886 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
